label,topic
1,updatemoody diversification and financial flexibility contribute to metlife stronger credit profile compared to prudential 
0,former wells fargo ceo richard kovacevich on cnbc  prepared to go into the market if things  get ugly after brexit vote 
1,southwest airlines pilots association  boards from four unions completed votes of no confidence in ceo  coo of airline 
0,allergan shareholder rejects proposal that co adopt as policy to require chair of board  to be independent member of board 
1,intercontinental exchange announces agreement to acquire global research index platform from bank of america merrill lynch 
0,rockwell collins to convene special shareowners meeting to vote on proposals related to acquisition by united technologies 
0,kinder morgan  dcp midstream and targa resources announce final investment decision on gulf coast express pipeline project 
0,bank of america corp  announced issuance of its fourth and largest green bond for 225 bln in aggregate principal amount 
1,verizon and hearst enter into agreement to acquire complex to expand joint portfolio of millennial digital video channels 
0,aveo initiates evaluation of tivozanib in combination with bristolmyers squibb opdivo in advanced renal cell carcinoma 
0,energy transfer  sunoco logistics and phillips 66 announce binding supplemental open season for bakken pipeline transport 
0,moody says alphabet loss of notable advertisers on youtube platform credit negative  but does not impact aa2 rating 
0,baxter international says received guidance from fda clarifying regulatory pathway for new peritoneal dialysis technology 
1,fda approves thermo fisher scientific companion diagnostic test to screen multiple nonsmall cell lung cancer therapies 
0,unilever cfo says forex would add 1 percent to turnover  2 percent to eps if current spot rates applied for the full year 
0,luna dna announces 2 mln in seed funding round included several individual investors and former executives from illumina 
0,htg molecular  illumina agreed to third development plan under parties amended  restated development  supply agreement 
0,kinder morgan canada  kinder morgan cochin  trans mountain pipeline entered first amending agreement to credit agreement 
0,danaher says expects q1 2018 adjusted diluted net eps to be above highend of co previously communicated guidance range 
0,glaxosmithkline says updated marketing authorisation by european commission will be reflected in label for relvar ellipta 
0,abbott laboratories  co  sanquin sign multipleyear contract for supply of primary serological equipment and consumables 
0,salesforce says salesforce ventures has launched canada trailblazer fund  a 100 mln fund  to invest in canadian startups 
0,moody assigns a1 rating to town of lexington sc 77m combined waterworks and sewer system revenue refunding bonds 
0,moody assigns a3 rating to cape fear valley health system nc 116 million of series 2012a bonds outlook be stable 
0,china united network communications controlling shareholder signs agreement on internetrelated infrastructure in anhui 
0,thermo fisher scientific priced offering of 1 bln euros aggregate principal amount of 075 percent senior notes due 2024 
0,opgen collaborates with merck to develop rapid diagnostics and informatics tools to help combat antimicrobial resistance 
0,microsoft ventures and qualcomm ventures invest in team8 global cyber syndicate  citigroup signs strategic partnership 
0,sempra energy announces california utilities settlement agreement for twoyear extension of costofcapital application 
0,fda accepts for priority review bristolmyers application for opdivo in previously treated metastatic colorectal cancer 
0,regen biopharma addresses potential impact of recent bristol myers squibb 23 billion acquisition of ifm therapeutics 
0,medtronic launches enchant study to evaluate chevar parallel graft technique with the endurant iiiis stent graft system 
0,moody assign a mig 1 rating to the town of ashburnham 146 million 2012 general obligation bond anticipation notes 
0,twentyfirst century fox says does not have heightened appetite for ma after atttime warner deal ceo on conf call 
0,yum brands says pizza hut holdings  kfc holding  taco bell of america enters refinancing amendment to credit agreement 
0,honda motor  which plans to release an electric vehicle in chinese market next year  expects to produce locally nikkei 
0,bank of new york mellon corp says issued 750 million aggregate principal amount of its 3250 percentage senior mediumterm notes 
0,goldman sachs terminates general guarantee agreement guaranteeing the obligations of goldman sachs execution  clearing 
1,td bank group announces redemption of 4644 percent fixed ratefloating rate subordinated notes issued by td bank  na 
1,tesla ceo elon musk says in tweet tesla semi truck unveil and test ride tentatively scheduled for oct 26th in hawthorne 
1,weatherford international says us doj has cleared proposed onestim joint venture between weatherford and schlumberger 
0,walgreens boots alliance  ceo stefano pessina 2017 total compensation was 147 million versus 101 million in 2016 
0,moody places on review for downgrade certificates issued by corporate backed trust certificates  kinder morgan  inc 
0,moody assigns aaa enhanced rating to knippa isd tx 35 million unlimited tax school building bonds  series 2012 
0,bristolmyers enters collaboration to identify predictive biomarkers across multiple tumor types  immunotherapy agents 
0,sunrun and national grid jointlyowned subsidiary entered aggregate 202 million of senior secured credit facilities 
0,nokia and frontier communications deploy gfast technology to expand gigabit ultrabroadband access across connecticut 
0,cryoport says novartis signed agreement contracting co over an initial threeyear term for cryogenic logistics support 
0,abbott extends cash tender offer for all outstanding shares of series b convertible perpetual preferred stock of alere 
0,allergan receives fda clearance for the coolsculpting treatment to improve appearance of lax tissue in the double chin 
0,hershey says upon termination of merger agreement  amplify snack required to pay co termination fee of about 314 mln 
0,tesla says we continually evaluate capital expenditure needs  may raise additional capital to fund growth of business 
0,moody assigns a baa1 hyb rating to the usd700 million perpetual subordinated tier 1 securities issued by prudential plc 
0,waste management says certain units executed c5095 million credit facilities amended and restated credit agreement 
0,eiger biopharmaceuticals says license of worldwide rights to pegylated interferon lambda1a from bristolmyers squibb 
1,twentyfirst century fox says commenced an internal review of complaint against fox news chairman and ceo roger ailes 
0,regeneron and sanofi present results from latestage monarch study at american college of rheumatology annual meeting 
0,deere  co ceo samuel allen fy 2016 total compensation 186 million versus 187 million in fy 2015  sec filing 
0,european commission approves keytruda for firstline treatment of patients with metastatic nonsmall cell lung cancer 
0,allergan reports topline phase ii data supporting advancement of botox for the treatment of major depressive disorder 
0,fedex spokeswoman says fedex systems be operating normally after resolving limited functionality issues overnight 
0,gilead receives approval in canada for vosevi for retreatment of certain patients with chronic hep c virus infection 
0,illumina sees nongaap diluted eps attributable to illumina stockholders in range of 450460 for fiscal year 2018 
0,astrazeneca says prolonging treatment with brilinta after 1yr reduces risk of major adverse cardiac events by 19 pct 
0,ge agrees to sell lighting business in europe  middle east  africa  turkey  and co global automotive lighting units 
0,regeneron  alnylam pharmaceuticals announce collaboration to discover new treatments for nonalcoholic steatohepatitis 
0,avexis says merger deal with novartis includes that under certain circumstances  co will pay 284 mln termination fee 
1,equinix says co  telxius working on us facilities  services for nextgeneration cable landing station architecture 
0,capital one financial  30 day performing delinquencies rate for auto 523 pct at april end vs 515 pct at march end 
0,moody assigns mig1 rating to the city of elyria oh 71 million various purpose golt bond anticipation notes 
0,moody assigns aa1 rating to new hanover county nc 205 million limited obligation refunding bonds series 2012 
1,updatemoody assigns definitive ratings to notes issued by closed joint stock company mortgage agent mkb  russian rmbs 
0,regeneron pharmaceuticals  intellia therapeutics announce collaboration to discover  develop crisprcas therapeutics 
0,aetna  humana delivered written notice to each other to extend end date with respect to merger from june 30dec 31 
0,hershey on conf call know there a lot of chatter about mondelez offer  not going to comment further on the matter 
1,charter communications says new pricing and packaging to be fully implemented by spring of 2017  goldman sachs conf 
0,john fox issues open letter to board of marathon petroleum against mpc proposed jan 3  2017 plan  offers new plan 
0,johnson  johnson says received a subpoena in feb from the us attorney office for the district of massachusetts 
0,stockholder lowell miller files proposal raising concerns about kinder morgan policies regarding methane emissions 
0,allstate stockholder proposal seeking adoption of policy to require independent board chairman lacks majority vote 
0,novo nordisk says tresiba showed significant reduction in rates of severe hypoglycaemia compared to insulin glargine 
0,koninklijke philips and singapore institute of advanced medicine sign agreement to open oncology center in singapore 
0,roxwood medical enters into an exclusive agreement with abbott for distribution of roxwood products in united states 
0,proteros enters into new research collaboration with johnson  johnson innovation on subclass of epigenetic targets 
0,xoma announces transformational license agreements for gevokizumab and its il1 beta intellectual property portfolio 
0,trian fund management edward garden reports sale of about 58 mln shares of bank of new york mellon common stock 
0,charles schwab redeems outstanding depositary shares of its 6 pct noncumulative perpetual preferred stock  series b 
0,glaxosmithkline submits regulatory application for singledose tafenoquine for treatment of plasmodium vivax malaria 
0,ono pharmaceutical enters into license agreement with bristolmyers squibb for prostaglandin e2 receptor antagonists 
1,sempra energy files to say it be offering 15 bln of shares of co mandatory convertible preferred stock  series a 
0,suntrust banks says ceo william rogers fy 2017 total compensation was 96 mln vs 82 mln in fy 2016  sec filing 
0,ortho clinical diagnostics and thermo fisher scientific agree to deliver 14 assays for use on ortho vitros systems 
0,amgen receives positive chmp opinion to add overall survival results from the phase 3 aspire study to kyprolis label 
0,sa competition tribunal says chevron sa  other oil firms settle information sharing complaint for supply of diesel 
0,moody reviews for downgrade two pins transactions and one cir following the review for downgrade of certain banks 
0,moody assigns aa2 enhanced rating to weld county school district re3j weld and adams counties  co go bonds 
0,cell therapeutics up 86 percent premarket expects 67 million in cash milestone payments from baxter through 2015 
0,disney abc says it reached agreement to end joint ownership of fusion with univison becoming the sole owner cnbc 
0,cypress semiconductor closes acquisition of wireless internet of things business and related assets of broadcom ltd 
0,aig to be paid a fee of 150 mln by arch capital group as per termination provisions under stock purchase agreement 
1,accenture says schlumberger expands accenture finance and accounting business process outsourcing agreement to 2021 
0,sempra international negotiations have been terminated regarding gasoducto sur peruano natural gas pipeline project 
0,incyte and merck to advance clinical development program investigating the combination of epacadostat with keytruda 
0,verizon announces pricing terms of its tender offers for 30 series of notes of verizon  certain of its subsidiaries 
0,prudential financial ceo john strangfeld fy 2016 total compensation 53 mln vs 484 mln in fy 2015  sec filing 
0,mylan provides update on meridian medical technologies  expands voluntary worldwide recall of epipen autoinjector 
0,marsh  mclennan ceo daniel glaser fy 2016 total compensation was 1575 mln vs 156 mln in fy 2015  sec filing 
0,parvus therapeutics announces license and collaboration agreement of its lead nanomedicine to treat type 1 diabetes 
0,thermo fisher scientific announces receipt of all required regulatory approvals for proposed acquisition of patheon 
0,chubb  on oct 25  chubb ltd  chubb bermuda insurance  among others  entered into amended  restated credit agreement 
0,calstrs and jana partners encourage apple to enhance mobile device software to enable ageappropriate setup options 
1,universal logistics says on feb 2  units entered amendment 5 to revolving credit  security agreement with pnc bank 
0,eog resources sees noncash net loss of 45 mln on marktomarket of financial commodity derivative contracts in q4 
0,express scripts and walgreens boots alliance expand group purchasing efforts to include specialty brand medications 
0,rib software agrees with microsoft on strategic alliance to build vertical cloud platform for construction industry 
0,aldeyra therapeutics announces agreement with johnson  johnson innovation to advance novel immunemodulating drugs 
0,centene corp files for resale of up to 145 mln shares of co common stock by the selling stockholder  sec filing 
0,duke energy corp says ceo lynn good fy 2017 total compensation was 214 mln vs 138 mln in fy 2016  sec filing 
0,canada energy minister says question of ottawa taking stake in kinder morgan pipeline expansion is on the table 
0,delta 9 cannabis  health canada has approved application for amendment to its cannabis production and sale license 
0,capital one financial files preliminary prospectus supplement related to a potential twopart senior notes offering 
0,allstate corp  entered into accelerated share repurchase agreement to buy 400 mln of its outstanding common stock 
0,moody says sinclair planned acquisition of stations from newport television has no immediate impact on ratings 
0,citigroup says receives grand jury subpoenas from us attorney related to bank secrecy act  antimoney laundering 
0,monster beverage commences modified dutch auction offer to purchase up to 20 bln of its outstanding common stock 
0,caterpillar world dealer reports retail statistics of machines for 3month rolling period ended april down 12 pct 
0,oracle corp expands oracle cloud platform data integration offerings with launch of oracle data integrator cloud 
0,las vegas sands corp units entered into a fourth amendment to existing credit agreement dated as of dec 19  2013 
0,baxter international says in april became aware of criminal investigation by antitrust division of doj sec filing 
0,blackrock says believe it be in longterm shareholders best economic interests for exxon to enhance disclosures 
0,corning and gerresheimer collaborate to deliver new corning valortm glass to the pharmaceutical packaging market 
0,exxonmobil baytown and beaumont refineries begin fuels production  chemical plants ramping up to normal operations 
0,dowdupont declares quarterly dividend of 38 cents per share  announces initial 4 billion share repurchase program 
0,hp 3d printing drives distributed design  manufacturing and supply chain transformation with jabil and forecast 3d 
0,raytheon co awarded indefinite deliveryindefinite quantity contract by the us air force for co  analr69av 
1,semtech accelerates vesting of remaining 586 956 unvested shares from warrant originally issued to unit of comcast 
0,moody assigns aa1 rating and stable outlook to city of phoenix  arizona general obligation bonds  series 2012 
0,moody assigns a1 rating to elko new market mn 13 million general obligation refunding bonds  series 2012b 
0,edf said to pick jp morgan  hsbc societe generale sa and bnp paribas sa for 4 billion euro fundraising bloomberg 
0,duke invited brookfield asset management engie to submit binding bids for latin american power assets  bloomberg 
0,select sands agrees to purchase dry plant  operating equipment  sand inventory located on union pacific rail line 
0,blackrock director william demchak reports open market purchase of 1 200 shares of co common stock  sec filing 
0,intercontinental exchange appoints jonathan reeve as global head of connectivity and consolidated feed businesses 
0,dominion resources says its units enter into 5 bln second amended  restated revolving credit agreement on nov 10 
0,lowe companies entered into a 175 billion fiveyear unsecured revolving amended and restated credit agreement 
0,delta air lines files for resale of common stock of up to 1532 mln shares by the delta master trust  sec filing 
1,hitgen  pfizer enter research collaboration and license agreement to build and screen novel dnaencoded libraries 
0,jp morgan global alternatives hires brad demong and leander christofides to run global special situations group 
